Climb,Area,Climber,Date,FrenchGrade,Style,Gender,Year,Grade,OriginalArea,SuggestedGrade,AscentNumber,Notes,SuggestedNumberGrade,AveragedNumberGrade
Creature from the Black Lagoon,Rocky Mountain National Park,Daniel Woods,9/28/2016,8C+,Boulder Problem,M,2016,V16,Rocky Mountain National Park,8C+,1,"8C+ soft. 15 days. Watch the ascent on ""Uncharted Lines"".",16,16
Creature from the Black Lagoon,Rocky Mountain National Park,David Graham,10/25/2016,8C+,Boulder Problem,M,2016,V16,Rocky Mountain National Park,8C+,2,16 days,16,16
Creature from the Black Lagoon,Rocky Mountain National Park,James Webb,8/20/2017,8C+,Boulder Problem,M,2017,V16,Rocky Mountain National Park,8C+,3,6 days,16,16
Creature from the Black Lagoon,Rocky Mountain National Park,Daisuke Ichimiya,9/15/2017,8C+,Boulder Problem,M,2017,V16,Rocky Mountain National Park,8C+,4,7 days,16,16
Creature from the Black Lagoon,Rocky Mountain National Park,Griffin Whiteside,7/20/2018,8C+,Boulder Problem,M,2018,V16,Rocky Mountain National Park,8C+,5,,16,16
Creature from the Black Lagoon,Rocky Mountain National Park,Shawn Raboutou,9/27/2018,8C+,Boulder Problem,M,2018,V16,Rocky Mountain National Park,8C/8C+,6,8C/8C+,15.5,16
Hypnotized Minds,Rocky Mountain National Park,Daniel Woods,10/21/2010,8C+,Boulder Problem,M,2010,V16,Rocky Mountain National Park,8C+,1,"Woods originally suggested 8C hard, but later changed his opinion to 8C+ soft. 8-10 days",16,16
Hypnotized Minds,Rocky Mountain National Park,Rustam Gelmanov,6/17/2016,8C+,Boulder Problem,M,2016,V16,Rocky Mountain National Park,UNKNOWN,2,3 sessions,0,16
Paint it Black,Rocky Mountain National Park,Daniel Woods,2/29/2012,8C,Boulder Problem,M,2012,V15,Rocky Mountain National Park,8C,1,8C soft,15,15
Paint it Black,Rocky Mountain National Park,Paul Robinson,4/18/2012,8C,Boulder Problem,M,2012,V15,Rocky Mountain National Park,8C,2,"8C soft. Watch the ascent on ""On the Circuit"".",15,15
Paint it Black,Rocky Mountain National Park,David Graham,4/28/2012,8C,Boulder Problem,M,2012,V15,Rocky Mountain National Park,8C,3,9 days,15,15
Paint it Black,Rocky Mountain National Park,Ian Dory,1/25/2014,8C,Boulder Problem,M,2014,V15,Rocky Mountain National Park,UNKNOWN,4,100+ tries over a few seasons,0,15
Paint it Black,Rocky Mountain National Park,Toru Nakajima,9/22/2015,8C,Boulder Problem,M,2015,V15,Rocky Mountain National Park,8C,5,,15,15
Paint it Black,Rocky Mountain National Park,Nicholas Milburn,12/24/2016,8C,Boulder Problem,M,2016,V15,Rocky Mountain National Park,8C,6,8C soft,15,15
Paint it Black,Rocky Mountain National Park,Griffin Whiteside,3/13/2018,8C,Boulder Problem,M,2018,V15,Rocky Mountain National Park,8C,7,,15,15
Paint it Black,Rocky Mountain National Park,Matt Fultz,4/21/2019,8C,Boulder Problem,M,2019,V15,Rocky Mountain National Park,8C,8,8C soft,15,15
Paint it Black,Rocky Mountain National Park,Daniel Fong,5/18/2019,8C,Boulder Problem,M,2019,V15,Rocky Mountain National Park,8C,9,8C soft,15,15
Topaz,Rocky Mountain National Park,David Graham,10/12/2016,8C,Boulder Problem,M,2016,V15,Wild Basin,8C,1,,15,15
Topaz,Rocky Mountain National Park,Daniel Woods,10/13/2016,8C,Boulder Problem,M,2016,V15,Wild Basin,8C,2,8C soft,15,15
Topaz,Rocky Mountain National Park,Paul Robinson,10/23/2016,8C,Boulder Problem,M,2016,V15,Wild Basin,8C,3,,15,15
Topaz,Rocky Mountain National Park,Sam Weir,9/26/2017,8C,Boulder Problem,M,2017,V15,Wild Basin,8C,4,,15,15
Topaz,Rocky Mountain National Park,Griffin Whiteside,4/12/2018,8C,Boulder Problem,M,2018,V15,Wild Basin,8C,5,,15,15
Topaz,Rocky Mountain National Park,Giuliano Cameroni,5/30/2019,8C,Boulder Problem,M,2019,V15,Wild Basin,8B+/8C,6,,14.5,15
Ali Hulk Extension,Rodellar,Daniel Andrada Jiménez,9/12/2007,9a+,Sport Route,M,2007,5.15a,Rodellar,9a+,1,,2,2
Ali Hulk Extension,Rodellar,Magnus Midtbø,8/20/2010,9a+,Sport Route,M,2010,5.15a,Rodellar,9a+,2,,2,2
Ali Hulk Extension,Rodellar,Danilo Pereyra,9/19/2011,9a+,Sport Route,M,2011,5.15a,Rodellar,9a+,3,,2,2
Ali Hulk Extension,Rodellar,Dimitri Sharafutdinov ,1/1/2012,9a+,Sport Route,M,2012,5.15a,Rodellar,9a+,4,,2,2
Ali Hulk Extension,Rodellar,Jorge Diaz Rullo,8/12/2017,9a+,Sport Route,M,2017,5.15a,Rodellar,9a+,5,,2,2
Ali Hulk Sit Extension,Rodellar,Daniel Andrada Jiménez,11/8/2007,9b,Sport Route,M,2007,5.15b,Rodellar,9b,1,,3,3
Ali Hulk Sit Extension,Rodellar,Magnus Midtbø,8/29/2010,9b,Sport Route,M,2010,5.15b,Rodellar,9b,2,,3,3
Delincuente Natural ,Rodellar,Daniel Andrada Jiménez,9/13/2008,9b,Sport Route,M,2008,5.15b,Rodellar,9b,1,,3,3
No Pain No Gain,Rodellar,Daniel Fuertes,6/6/2017,9a+,Sport Route,M,2017,5.15a,Rodellar,9a+,1,,2,2
No Pain No Gain,Rodellar,Gonzalo Larrocha,9/23/2017,9a+,Sport Route,M,2017,5.15a,Rodellar,9a+,2,,2,2
No Pain No Gain,Rodellar,Piotr Schab,9/7/2018,9a+,Sport Route,M,2018,5.15a,Rodellar,9a+,3,9a+ soft,2,2
Jaws II,Rumney,Vasya Vorotnikov,10/14/2007,9a+,Sport Route,M,2007,5.15a,Rumney,9a+,1,35 days,2,2
Jaws II,Rumney,Daniel Woods,1/1/2010,9a+,Sport Route,M,2010,5.15a,Rumney,9a+,2,3 days. Hard route to grade and very specialized.,2,2
Jaws II,Rumney,Mike Foley,1/1/2011,9a+,Sport Route,M,2011,5.15a,Rumney,UNKNOWN,3,,0,2
Jaws II,Rumney,Andrew Palmer,1/1/2013,9a+,Sport Route,M,2013,5.15a,Rumney,9a+,4,,2,2
Jaws II,Rumney,Paul Robinson,1/1/2013,9a+,Sport Route,M,2013,5.15a,Rumney,9a+,5,,2,2
Jaws II,Rumney,Alexander Megos,1/1/2017,9a+,Sport Route,M,2017,5.15a,Rumney,9a+,6,3 attempts,2,2
Jaws II,Rumney,Tristan Chen,1/1/2018,9a+,Sport Route,M,2018,5.15a,Rumney,9a+,7,,2,2
Jaws II,Rumney,Jesse Gruper,10/1/2018,9a+,Sport Route,M,2018,5.15a,Rumney,9a+,8,,2,2
Les yeux plus gros que l’antre,Russan,Sébastien Bouin,4/3/2018,9b,Sport Route,M,2018,5.15b,Russan,9a+/9b,1,,2.5,3
Eagle-4,Saint Léger du Ventoux,Adam Ondra,2/13/2018,9b,Sport Route,M,2018,5.15b,St. Léger,9b,1,~8 days,3,3
La Castagne,Saint Léger du Ventoux,Adam Ondra,1/1/2018,9a+,Sport Route,M,2018,5.15a,Saint Léger du Ventoux,9a+,1,,2,2
Super Crackinette,Saint Léger du Ventoux,Alexander Megos,1/1/2016,9a+,Sport Route,M,2016,5.15a,Saint Léger du Ventoux,9a+,1,,2,2
Super Crackinette,Saint Léger du Ventoux,Adam Ondra,1/1/2018,9a+,Sport Route,M,2018,5.15a,Saint Léger du Ventoux,9a+,2,First 9a+ flash,2,2
Super Crackinette,Saint Léger du Ventoux,Gérome Pouvreau,1/1/2018,9a+,Sport Route,M,2018,5.15a,Saint Léger du Ventoux,9a+,3,,2,2
Empreintes,Saint-Pierre en Faucigny,Frédéric Rouhling,7/1/2009,9a+,Sport Route,M,2009,5.15a,Saint-Pierre en Faucigny,9a+,1,,2,2
Salamandre,Saint-Pierre en Faucigny,Frédéric Rouhling,11/1/2007,9a+,Sport Route,M,2007,5.15a,Saint-Pierre en Faucigny,9a+,1,,2,2
Salamandre,Saint-Pierre en Faucigny,Baptiste Dherbilly,10/27/2017,9a+,Sport Route,M,2017,5.15a,Saint-Pierre en Faucigny,9a+,2,,2,2
Catalán Witness the Fitness,Sant Quirze Safaja,Chris Sharma,1/2/2016,8C,Boulder Problem,M,2016,V15,Sant Quirze Safaja,8C,1,,15,15
Catalán Witness the Fitness,Sant Quirze Safaja,Alberto Rocasolano Jaudenes,2/3/2016,8C,Boulder Problem,M,2016,V15,Sant Quirze Safaja,8C,2,8 days. 9a/9a+ sport route,15,15
Catalán Witness the Fitness,Sant Quirze Safaja,Felipe Camargo,2/23/2016,8C,Boulder Problem,M,2016,V15,Sant Quirze Safaja,8C,3,4 days,15,15
Catalán Witness the Fitness,Sant Quirze Safaja,Ignacio Sánchez González,2/1/2016,8C,Boulder Problem,M,2016,V15,Sant Quirze Safaja,8C,4,8C soft. 3 days,15,15
Catalán Witness the Fitness,Sant Quirze Safaja,Martin Stráník,12/24/2016,8C,Boulder Problem,M,2016,V15,Sant Quirze Safaja,8C,5,8C soft. 2 days,15,15
Catalán Witness the Fitness,Sant Quirze Safaja,Jernej Kruder,3/7/2017,8C,Boulder Problem,M,2017,V15,Sant Quirze Safaja,8C,6,8C soft. Few days,15,15
Catalán Witness the Fitness,Sant Quirze Safaja,Jakob Schubert,1/13/2018,8C,Boulder Problem,M,2018,V15,Sant Quirze Safaja,8B+,7,FLASH! 8B+ soft,14,15
Catalán Witness the Fitness,Sant Quirze Safaja,David MacLeod,2/3/2018,8C,Boulder Problem,M,2018,V15,Sant Quirze Safaja,8B+,8,5 or 6 sessions,14,15
Catalán Witness the Fitness,Sant Quirze Safaja,Pol Roca Lopez,1/4/2019,8C,Boulder Problem,M,2019,V15,Sant Quirze Safaja,8C,9,,15,15
El Bon Combat,Sant Quirze Safaja,Chris Sharma,3/7/2015,9b,Sport Route,M,2015,5.15b,Sant Quirze Safaja,9b/9b+,1,9b/9b+,3.5,3
El Bon Combat,Sant Quirze Safaja,Jakob Schubert,12/1/2018,9b,Sport Route,M,2018,5.15b,Sant Quirze Safaja,9a+,2,9a+ hard,2,3
El Bon Combat,Sant Quirze Safaja,Felipe Camargo,4/19/2019,9b,Sport Route,M,2019,5.15b,Sant Quirze Safaja,9b,3,,3,3
Obrint el Sistema,"Santa Ana, Spain",Adam Ondra,1/1/2011,9a+,Sport Route,M,2011,5.15a,Santana,9a+,1,,2,2
Catxasa,Santa Linya,Chris Sharma,1/1/2011,9a+,Sport Route,M,2011,5.15a,Santa Linya,9a+,1,,2,2
Catxasa,Santa Linya,Ramón Julián Puigblanque,6/29/2012,9a+,Sport Route,M,2012,5.15a,Santa Linya,9a+,2,Done while it was 39° C (102° F),2,2
Catxasa,Santa Linya,Sachi Amma,2/11/2015,9a+,Sport Route,M,2015,5.15a,Santa Linya,9a+,3,4 tries,2,2
Catxasa,Santa Linya,Jakob Schubert,1/1/2018,9a+,Sport Route,M,2018,5.15a,Santa Linya,9a+,4,,2,2
Catxasa,Santa Linya,Piotr Schab,4/9/2018,9a+,Sport Route,M,2018,5.15a,Santa Linya,9a+,5,6 tries in 3 days,2,2
Catxasa,Santa Linya,Adam Ondra,2/8/2019,9a+,Sport Route,M,2019,5.15a,Santa Linya,9a+,6,My nemesis,2,2
Catxasa,Santa Linya,Jakub Konečný,1/1/2018,9a+,Sport Route,M,2018,5.15a,Santa Linya,9a+,6,,2,2
Catxasa R2,Santa Linya,Ramón Julián Puigblanque,6/29/2012,9b,Sport Route,M,2012,5.15b,Santa Linya,9a+/9b,1,9a+/9b,2.5,3
Neanderthal,Santa Linya,Chris Sharma,12/18/2009,9b,Sport Route,M,2009,5.15b,Santa Linya,9b,1,"Watch him projecting the route on ""Dosage V"". Watch the ascent on ""Reel Rock Tour 2010"".",3,3
Neanderthal,Santa Linya,Jakob Schubert,12/28/2018,9b,Sport Route,M,2018,5.15b,Santa Linya,9b,2,"6 days, 10-15 tries",3,3
Neanderthal,Santa Linya,Adam Ondra,2/12/2019,9b,Sport Route,M,2019,5.15b,Santa Linya,9b,3,Several years,3,3
Selecció Anal,Santa Linya,Ramón Julián Puigblanque,12/21/2013,9a+,Sport Route,M,2013,5.15a,Santa Linya,9a+,1,9a+ soft,2,2
Selecció Anal,Santa Linya,Sachi Amma,2/19/2015,9a+,Sport Route,M,2015,5.15a,Santa Linya,9a+,2,9a+ soft,2,2
Selecció Anal,Santa Linya,Eduard Marín García,1/1/2016,9a+,Sport Route,M,2016,5.15a,Santa Linya,9a+,3,,2,2
Selecció Anal,Santa Linya,Magnus Midtbø,1/1/2016,9a+,Sport Route,M,2016,5.15a,Santa Linya,9a+,4,,2,2
Selecció Anal,Santa Linya,Jakob Schubert,1/1/2017,9a+,Sport Route,M,2017,5.15a,Santa Linya,9a/9a+,5,9a/9a+,1.5,2
Selecció Anal,Santa Linya,Piotr Schab,2/10/2017,9a+,Sport Route,M,2017,5.15a,Santa Linya,9a,6,9a hard,1,2
Selecció Anal,Santa Linya,Kamil Ferenc,1/1/2017,9a+,Sport Route,M,2017,5.15a,Santa Linya,9a/9a+,7,,1.5,2
Stoking the Fire,Santa Linya,Chris Sharma,2/6/2013,9b,Sport Route,M,2013,5.15b,Santa Linya,9b,1,,3,3
Stoking the Fire,Santa Linya,Adam Ondra,2/19/2016,9b,Sport Route,M,2016,5.15b,Santa Linya,9b,2,10+ days,3,3
Stoking the Fire,Santa Linya,Jakob Schubert,1/5/2018,9b,Sport Route,M,2018,5.15b,Santa Linya,9b,3,,3,3
Stoking the Fire,Santa Linya,Sachi Amma,3/25/2019,9b,Sport Route,M,2019,5.15b,Santa Linya,UNKNOWN,4,,0,3
Babel ,Shiobara,Dai Koyamada,1/31/2007,8C,Boulder Problem,M,2007,V15,Shiobara,8B+/8C,1,"Koyamada originally suggested 8C hard/(8C+), but later changed his opinion to 8B+/8C.",14.5,15
Babel ,Shiobara,Motochika Nagao,11/30/2013,8C,Boulder Problem,M,2013,V15,Shiobara,UNKNOWN,2,,0,15
Babel ,Shiobara,Sachi Amma,5/13/2014,8C,Boulder Problem,M,2014,V15,Shiobara,8B+/8C,3,8B+/8C,14.5,15
Babel ,Shiobara,Ryuichi Murai,3/17/2016,8C,Boulder Problem,M,2016,V15,Shiobara,8C,4,,15,15
Babel ,Shiobara,Akira Waku,5/1/2018,8C,Boulder Problem,M,2018,V15,Shiobara,8C,5,,15,15
Babel ,Shiobara,Jun Shibanuma,5/7/2018,8C,Boulder Problem,M,2018,V15,Shiobara,8C,6,,15,15
Babel ,Shiobara,Nomura Shinichiro,5/24/2018,8C,Boulder Problem,M,2018,V15,Shiobara,8C,7,,15,15
Ballad Direct ,Shiobara,Akira Waku,9/8/2017,8C,Boulder Problem,M,2017,V15,Shiobara,8B+/8C,1,8B+/8C,14.5,15
Hydrangea ,Shiobara,Dai Koyamada,4/22/2005,8C,Boulder Problem,M,2005,V15,Shiobara,8B+,1,"Koyamada originally suggested (8C)/8C+, but later changed his opinion to 8B+.",14,15
Hydrangea ,Shiobara,Daniel Woods,2/14/2013,8C,Boulder Problem,M,2013,V15,Shiobara,8C,2,,15,15
Hydrangea ,Shiobara,Motochika Nagao,3/9/2013,8C,Boulder Problem,M,2013,V15,Shiobara,UNKNOWN,3,,0,15
Hydrangea ,Shiobara,Sachi Amma,5/13/2014,8C,Boulder Problem,M,2014,V15,Shiobara,8C,4,,15,15
Hydrangea ,Shiobara,Ryuichi Murai,4/13/2016,8C,Boulder Problem,M,2016,V15,Shiobara,8C,5,,15,15
Hydrangea ,Shiobara,Nomura Shinichiro,5/24/2018,8C,Boulder Problem,M,2018,V15,Shiobara,8C,6,,15,15
Hyper Ballad,Shiobara,Dai Koyamada,3/31/2006,8C,Boulder Problem,M,2006,V15,Shiobara,8C,1,,15,15
Hyper Ballad,Shiobara,Sachi Amma,,8C,Boulder Problem,M,1900,V15,Shiobara,UNKNOWN,2,,0,15
Hyper Ballad,Shiobara,Akira Waku,6/27/2017,8C,Boulder Problem,M,2017,V15,Shiobara,8B+,3,,14,15
Biographie/Realization,"Sigoyer, France",Chris Sharma,7/1/2001,9a+,Sport Route,M,2001,5.15a,Céüse,9a+,1,,2,2
Biographie/Realization,"Sigoyer, France",Sylvain Millet,5/24/2004,9a+,Sport Route,M,2004,5.15a,Céüse,9a+,2,,2,2
Biographie/Realization,"Sigoyer, France",Patxi Usobiaga,7/29/2004,9a+,Sport Route,M,2004,5.15a,Céüse,9a+,3,,2,2
Biographie/Realization,"Sigoyer, France",David Graham,7/30/2007,9a+,Sport Route,M,2007,5.15a,Céüse,9a+,4,,2,2
Biographie/Realization,"Sigoyer, France",Ethan Pringle,9/2/2007,9a+,Sport Route,M,2007,5.15a,Céüse,9a+,5,,2,2
Biographie/Realization,"Sigoyer, France",Ramón Julián Puigblanque,7/27/2008,9a+,Sport Route,M,2008,5.15a,Céüse,9a+,6,,2,2
Biographie/Realization,"Sigoyer, France",Enzo Oddo,8/15/2010,9a+,Sport Route,M,2010,5.15a,Céüse,9a+,7,,2,2
Biographie/Realization,"Sigoyer, France",Jonathan Siegrist,6/1/2014,9a+,Sport Route,M,2014,5.15a,Céüse,9a+,8,,2,2
Biographie/Realization,"Sigoyer, France",Alexander Megos,7/11/2014,9a+,Sport Route,M,2014,5.15a,Céüse,9a+,9,,2,2
Biographie/Realization,"Sigoyer, France",Adam Ondra,7/22/2014,9a+,Sport Route,M,2014,5.15a,Céüse,9a+,10,,2,2
Biographie/Realization,"Sigoyer, France",Sachi Amma,8/7/2014,9a+,Sport Route,M,2014,5.15a,Céüse,9a+,11,,2,2
Biographie/Realization,"Sigoyer, France",Stefano Ghisolfi,6/22/2015,9a+,Sport Route,M,2015,5.15a,Céüse,9a+,12,,2,2
Biographie/Realization,"Sigoyer, France",Jon Cardwell,5/25/2016,9a+,Sport Route,M,2016,5.15a,Céüse,9a+,13,,2,2
Biographie/Realization,"Sigoyer, France",Sean Bailey,8/5/2016,9a+,Sport Route,M,2016,5.15a,Céüse,9a+,14,,2,2
Biographie/Realization,"Sigoyer, France",Margo Hayes,9/24/2017,9a+,Sport Route,F,2017,5.15a,Céüse,9a+,15,,2,2
Biographie/Realization,"Sigoyer, France",Piotr Schab,7/3/2018,9a+,Sport Route,M,2018,5.15a,Céüse,9a+,16,,2,2
Biographie/Realization,"Sigoyer, France",Stefano Carnati,9/22/2018,9a+,Sport Route,M,2018,5.15a,Céüse,9a+,17,,2,2
Jungle Boogie,"Sigoyer, France",Adam Ondra,6/5/2012,9a+,Sport Route,M,2012,5.15a,Céüse,9a+,1,,2,2
Jungle Boogie,"Sigoyer, France",Sachi Amma,9/17/2015,9a+,Sport Route,M,2015,5.15a,Céüse,9a+,2,,2,2
Jungle Boogie,"Sigoyer, France",Stefano Ghisolfi,10/3/2016,9a+,Sport Route,M,2016,5.15a,Céüse,9a+,3,9a+ hard,2,2
Jungle Boogie,"Sigoyer, France",Alexander Megos,1/1/2017,9a+,Sport Route,M,2017,5.15a,Céüse,9a+,4,1 day,2,2
L'Etrange Ivresse des Lenteurs,"Sigoyer, France",Adam Ondra,9/4/2010,9a+,Sport Route,M,2010,5.15a,Céüse,9a+,1,9a+ hard,2,2
L'Etrange Ivresse des Lenteurs,"Sigoyer, France",Vincente Balmosito,9/23/2018,9a+,Sport Route,M,2018,5.15a,Céüse,9a,2,9a hard,1,2
Three Degrees of Separation,"Sigoyer, France",Chris Sharma,1/1/2007,9a+,Sport Route,M,2007,5.15a,Céüse,UNKNOWN,1,,0,2
Three Degrees of Separation,"Sigoyer, France",Adam Ondra,7/21/2015,9a+,Sport Route,M,2015,5.15a,Céüse,9a+,2,Maybe I can dyno after all…,2,2
Three Degrees of Separation,"Sigoyer, France",Lucien Martinez,4/5/2019,9a+,Sport Route,M,2019,5.15a,Céüse,9a,3,,1,2
Golpe de Estado,Siurana,Chris Sharma,12/17/2008,9b,Sport Route,M,2008,5.15b,Siurana,9b,1,"Watch him projecting the route on ""Dosage V"".",3,3
Golpe de Estado,Siurana,Adam Ondra,3/13/2010,9b,Sport Route,M,2010,5.15b,Siurana,9b,2,"Watch the ascent on ""The Wizard's Apprentice"".",3,3
La Capella,Siurana,Adam Ondra,2/16/2011,9b,Sport Route,M,2011,5.15b,Siurana,9a+/9b,1,(9a+)/9b. 9 days,2.5,3
La Capella,Siurana,Stefano Ghisolfi,1/12/2018,9b,Sport Route,M,2018,5.15b,Siurana,9b,2,One of the most savage and intense routes I've ever tried.,3,3
La Capella,Siurana,Daniel Woods,2/25/2018,9b,Sport Route,M,2018,5.15b,Siurana,9b,3,9b soft. 5 days,3,3
La Rambla,Siurana,Ramón Julián Puigblanque,3/8/2003,9a+,Sport Route,M,2003,5.15a,Siurana,9a+,1,,2,2
La Rambla,Siurana,Eduard Marín García,11/30/2006,9a+,Sport Route,M,2006,5.15a,Siurana,9a+,2,,2,2
La Rambla,Siurana,Chris Sharma,12/1/2006,9a+,Sport Route,M,2006,5.15a,Siurana,9a+,3,,2,2
La Rambla,Siurana,Andreas Bindhammer,5/2/2007,9a+,Sport Route,M,2007,5.15a,Siurana,9a+,4,,2,2
La Rambla,Siurana,Patxi Usobiaga,11/27/2007,9a+,Sport Route,M,2007,5.15a,Siurana,9a+,5,9 tries,2,2
La Rambla,Siurana,Adam Ondra,2/10/2008,9a+,Sport Route,M,2008,5.15a,Siurana,9a+,6,5 goes,2,2
La Rambla,Siurana,Enzo Oddo,12/1/2011,9a+,Sport Route,M,2011,5.15a,Siurana,9a+,7,,2,2
La Rambla,Siurana,Sachi Amma,11/29/2012,9a+,Sport Route,M,2012,5.15a,Siurana,9a+,8,"5 days, 7 tries",2,2
La Rambla,Siurana,Felix Neumärker,3/29/2013,9a+,Sport Route,M,2013,5.15a,Siurana,9a+,9,,2,2
La Rambla,Siurana,Alexander Megos,3/1/2013,9a+,Sport Route,M,2013,5.15a,Siurana,9a+,10,2 tries,2,2
La Rambla,Siurana,Sangwon Son,12/12/2013,9a+,Sport Route,M,2013,5.15a,Siurana,9a+,11,,2,2
La Rambla,Siurana,Daniel Jung,1/31/2014,9a+,Sport Route,M,2014,5.15a,Siurana,9a+,12,,2,2
La Rambla,Siurana,Jonathan Siegrist,3/5/2015,9a+,Sport Route,M,2015,5.15a,Siurana,9a+,13,,2,2
La Rambla,Siurana,David Firnenburg,2/9/2017,9a+,Sport Route,M,2017,5.15a,Siurana,9a+,14,,2,2
La Rambla,Siurana,Matty Hong,2/25/2017,9a+,Sport Route,M,2017,5.15a,Siurana,9a+,15,,2,2
La Rambla,Siurana,Margo Hayes,2/26/2017,9a+,Sport Route,F,2017,5.15a,Siurana,9a+,16,First woman to climb 5.15a,2,2
La Rambla,Siurana,Stefano Ghisolfi,3/21/2017,9a+,Sport Route,M,2017,5.15a,Siurana,9a+,17,4 goes,2,2
La Rambla,Siurana,Jacopo Larcher,3/22/2017,9a+,Sport Route,M,2017,5.15a,Siurana,9a+,18,,2,2
La Rambla,Siurana,Klemen Bečan,4/15/2017,9a+,Sport Route,M,2017,5.15a,Siurana,9a+,19,,2,2
La Rambla,Siurana,Sébastien Bouin,12/6/2017,9a+,Sport Route,M,2017,5.15a,Siurana,9a+,20,9a+ soft,2,2
La Rambla,Siurana,Tomás Ravanal,1/10/2018,9a+,Sport Route,M,2018,5.15a,Siurana,9a+,21,,2,2
La Rambla,Siurana,Gerard Rull,2/23/2018,9a+,Sport Route,M,2018,5.15a,Siurana,9a+,22,,2,2
La Rambla,Siurana,Jon Cardwell,3/3/2018,9a+,Sport Route,M,2018,5.15a,Siurana,9a+,23,,2,2
La Rambla,Siurana,Piotr Schab,2/8/2019,9a+,Sport Route,M,2019,5.15a,Siurana,9a+,24,9a+ soft,2,2
La Rambla,Siurana,David Graham,3/3/2019,9a+,Sport Route,M,2019,5.15a,Siurana,9a+,25,,2,2
La Rambla,Siurana,Gonzalo Larrocha,3/18/2019,9a+,Sport Route,M,2019,5.15a,Siurana,9a+,26,,2,2
Le vent nous portera,"Socaire, Chile",Pirmin Bertle,1/1/2017,9a+,Sport Route,M,2017,5.15a,Socaire,9a+,1,,2,2
Defying Gravity,South Platte,Daniel Woods,11/16/2013,8C,Boulder Problem,M,2013,V15,South Platte,8C,1,"8C soft. Watch the ascent on ""Huntsmen"".",15,15
Defying Gravity,South Platte,James Webb,11/20/2014,8C,Boulder Problem,M,2014,V15,South Platte,8C,2,,15,15
The Singularity,Squamish,Tim Clifford,5/21/2007,8B+,Boulder Problem,M,2007,V14,Squamish,8B+,1,,14,14
The Singularity,Squamish,Nalle Hukkataival,9/21/2017,8B+,Boulder Problem,M,2017,V14,Squamish,8B+/8C,2,"8B+/8C. 11 Nalle started a bit lower than Tim, both hands on the rail",14.5,14
Progressive Aggression,Sydney,Christopher Webb-Parsons,8/4/2008,8C,Boulder Problem,M,2008,V15,Sydney,8B+/8C,1,8B+/8C,14.5,15
The World is Yours,Symonds Yat,James Squire,8/27/2018,8C,Boulder Problem,M,2018,V15,Biblins Cave,8C,1,30+ sessions,15,15
El Indomable,Tamajón,Alberto Rocasolano Jaudenes,10/10/2017,8C+,Boulder Problem,M,2017,V16,Tamajón,8C+,1,,16,16
El Indomable,Tamajón,Ignacio Sánchez González,1/31/2018,8C+,Boulder Problem,M,2018,V16,Tamajón,8C/8C+,2,8C/(8C+),15.5,16
Kikela,Teverga,Isaac Montes,7/1/2015,8C,Boulder Problem,M,2015,V15,Teverga,8C,1,,15,15
Kikela,Teverga,Alberto Rocasolano Jaudenes,1/2/2016,8C,Boulder Problem,M,2016,V15,Teverga,8C,2,7 days,15,15
Papa Oso,Torrelodones,Alberto Rocasolano Jaudenes,11/23/2017,8C,Boulder Problem,M,2017,V15,Torrelodones,8C,1,,15,15
Shanbara ,"Toyota, Aichi, Japan",Dai Koyamada,12/20/2011,8C,Boulder Problem,M,2011,V15,Toyota,8B+,1,"Koyamada originally suggested 8C, but later changed his opinion to 8B+. Watch the ascent on ""Eternally"".",14,15
Shanbara ,"Toyota, Aichi, Japan",Daisuke Ichimiya,12/31/2014,8C,Boulder Problem,M,2014,V15,Toyota,8C,2,,15,15
Shanbara ,"Toyota, Aichi, Japan",Nomura Shinichiro,12/14/2017,8C,Boulder Problem,M,2017,V15,Toyota,8C,3,,15,15
Fortaleza,Ubatuba,Felipe Camargo,7/16/2014,8C,Boulder Problem,M,2014,V15,Ubatuba,8B+/8C,1,8B+/8C,14.5,15
Desert Fox,UNKNOWN,Klem Loskot,,8C,Boulder Problem,M,1900,V15,UNKNOWN,8C,1,,15,15
Karamu,UNKNOWN,Dai Koyamada,4/28/2009,8C,Boulder Problem,M,2009,V15,Unknown (Japan),8C,1,,15,15
Le Boa,UNKNOWN,Frédéric Nicole,3/1/2011,8C,Boulder Problem,M,2011,V15,Unknown (Switzerland),8C,1,,15,15
Le Boa,UNKNOWN,Fabian Buhl,1/1/2017,8C,Boulder Problem,M,2017,V15,Unknown (Switzerland),8C,2,3 years,15,15
Sword,UNKNOWN,Klem Loskot,,8C,Boulder Problem,M,1900,V15,UNKNOWN,8B+/8C,1,8B+/8C,14.5,15
Unnamed,UNKNOWN,Dai Koyamada,5/30/2019,8C,Boulder Problem,M,2019,V15,UNKNOWN,8B+/8C,1,8B+/8C,14.5,15
Energia Cosmica,Val Canali,Alessandro Zeni,1/1/2018,9a+,Sport Route,M,2018,5.15a,Val Canali,9a+,1,,2,2
La Rustica,Valle Bavona,James Webb,4/7/2013,8C,Boulder Problem,M,2013,V15,Valle Bavona,8B+,1,8B+ hard,14,15
La Rustica,Valle Bavona,Nalle Hukkataival,8/4/2018,8C,Boulder Problem,M,2018,V15,Valle Bavona,8C,2,,15,15
La Rustica,Valle Bavona,Daniel Woods,5/1/2019,8C,Boulder Problem,M,2019,V15,Valle Bavona,8C,3,,15,15
